"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_menu.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 22, 143
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_preloading.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 4, 48
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_responsive.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 17, 106
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_topbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 23, 153
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_typography.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 13, 64
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_utils.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 3, 27
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 1, 5
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\badges.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 9, 47
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\custom.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 30, 258
